
                        **********************************
                        **********************************
                        ***                            ***
                        ***     Program ARSTAN_v48     ***
                        ***                            ***
                        ***       Creation Date:       ***
                        ***          03/17/16          ***
                        ***                            ***
                        ***       Programmed by:       ***
                        ***     Dr. Edward R. Cook     ***
                        ***       Paul J. Krusic       ***
                        ***    Tree-Ring Laboratory    ***
                        ***  Lamont-Doherty Earth Obs. ***
                        ***    Palisades, N.Y. 10964   ***
                        *** drdendro@ldeo.columbia.edu ***
                        ***    pjk@ldeo.columbia.edu   ***
                        ***  www.ldeo.columbia.edu/trl ***
                        ***                            ***
                        **********************************
                        **********************************

 |==============================================================================|

 overall run title:                                                                                 

 file names file processed:       dTrendBatcht.txt                                            
 data file processed:             fram_drop.rwl                                               
 log file processed:              fram_drop.rwl_log.txt                                       

                       opt          plt
 tree-ring data type    1                !tucson ring-width format                         
 missing data in gap   -9            0   !missing values estimated (no plots)              
 data transformation    4            0   !spread/level power transform (no plots)          
 first detrending       2     20     0   !1st-neg expon curve (k>0), no = opt 5            
 second detrending    -67      0     0   !2nd-spline curve (pct n 50% cutoff)              
 robust detrending      1                !non-robust detrending methods used               
 interactive detrend    0                !no interactive detrending                        
 index calculation      2                !residuals or differences (rt-gt)                 
 ar modeling method     1      0     0   !non-robust autoregressive modeling               
 pooled ar order        0            0   !minimum aic pooled ar model order fit 
 series ar order        0                !pooled ar order fit to all series                
 mean chronology        2   0    0   0   !robust (biweight) mean chronology                
 stabilize variance     1                !rbar weighted stabilization method               
 common period years     1950 2000       !first and last years of common period            
 site-tree-core mask       SSSTTC        !site-tree-core separation mask                   
 running rbar              40   20   0   !running rbar window/overlap (no plots)           
 printout option        2                !summary & series statistics printed              
 core series save       1                !series saved in tucson raw data format           
 summary plot displays  3                !spaghetti and mean chronology plots              

 stand dynamics stuf    0            0   !no stand dynamics analyses done                  
 running mean window    0                !running mean window width                        
 percent growth change  0                !percent growth change threshold                  
 std error threshold    0                !standard error limit threshold                   

 |======================== raw data statistical analyses =======================|

 |------------------- tree-ring series read in for processing ------------------|

  data header lines:

 |------------ series gaps found based on any negative number found ------------|
       *** when data are transformed, zeros are also treated as missing ***

        series      ident      results of scans for gaps or missing values

                           --- no gaps in data found ---

 |------------------ statistics of raw tree-ring measurements ------------------|

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
 |==================== transformed data statistical analyses ===================|

 |------------------ statistics of transformed tree-ring data ------------------|

                                                            spread vs level tests
 series   ident    mean   sdev    skew   kurt   sens  ac(1)  corr1   corr2  power
     1  121455A   1.335  0.348  -0.109  4.256  0.156  0.655  0.404   0.045  0.290
     2  192697    2.093  0.673   0.382  2.251  0.182  0.701  0.387   0.161  0.000
     3  142178    3.154  1.195   0.841  3.643  0.211  0.771  0.416   0.033  0.149
     4  171358    1.941  0.460   1.658  6.501  0.193  0.437  0.361   0.257  0.000
     5  202536    2.400  0.890   0.412  2.733  0.213  0.784  0.367   0.039  0.000
     6  161024    2.758  0.489  -0.962  8.393  0.092  0.678  0.369   0.101  0.000
     7  172575    1.827  0.515   0.390  4.236  0.182  0.498  0.433   0.187  0.000
     8  182396    1.140  0.355   0.335  2.756  0.195  0.718  0.100   0.015  0.737
     9  101292    2.602  0.970   0.612  3.215  0.172  0.843  0.286  -0.006  0.202
    10  182678    1.139  0.332   0.141  3.220  0.247  0.417  0.321   0.052  0.000
    11  192707    2.493  0.828  -0.077  3.001  0.148  0.827  0.401  -0.027  0.000
    12  171421    1.650  0.514   0.073  2.620  0.224  0.631  0.302   0.028  0.270
    13  12303     2.178  0.697  -0.037  2.327  0.173  0.773  0.106  -0.005  0.648
    14  192641    1.296  0.577   0.142  1.887  0.215  0.810  0.574   0.214  0.000
    15  10539     1.940  0.585   0.009  3.091  0.156  0.759  0.329  -0.012  0.059
    16  12267     2.731  0.916   0.105  3.032  0.209  0.738  0.464   0.054  0.000
    17  141124    1.842  0.707   0.099  2.825  0.281  0.634  0.552   0.205  0.000
    18  142703    2.476  1.109  -0.081  2.623  0.258  0.779  0.415   0.032  0.000
    19  202775    3.051  0.583   0.237  5.260  0.139  0.527  0.157  -0.019  0.168

 series   ident    mean   sdev    skew   kurt   sens  ac(1)  corr1   corr2  power
    20  152659    1.117  0.491   1.046  4.528  0.197  0.766  0.121   0.004  0.665
    21  132525    2.750  1.103   0.501  2.391  0.153  0.855  0.464   0.157  0.000
    22  40131     2.554  0.833   1.006  3.654  0.195  0.726  0.333   0.042  0.000
    23  140881    4.039  1.867   0.446  2.504  0.176  0.860  0.591   0.262  0.000
    24  40934A    1.157  0.624  -0.024  1.758  0.241  0.852  0.348   0.032  0.428
    25  40935A    1.778  0.509  -0.370  3.051  0.122  0.807  0.304  -0.023  0.191
    26  80481A    0.675  0.293   0.349  2.916  0.254  0.691  0.135   0.008  0.708
    27  102453A   1.600  0.384  -1.235  5.811  0.136  0.624  0.342   0.022  0.330
    28  111290A   2.336  0.658  -0.096  4.337  0.094  0.889  0.409  -0.030  0.000
    29  141255A   1.050  0.269   0.017  2.792  0.190  0.480  0.075   0.005  0.792
    30  172565A   3.204  1.412   0.215  3.641  0.141  0.915  0.555  -0.042  0.072
    31  192260A   4.206  1.520  -0.204  2.922  0.253  0.620  0.290   0.028  0.343
    32  192666A   0.877  0.304  -0.147  2.688  0.168  0.792  0.497  -0.004  0.000
    33  12234A    1.367  0.483  -0.121  3.021  0.184  0.797  0.281   0.033  0.243
    34  20040A    3.197  1.758  -0.001  1.651  0.136  0.936  0.656  -0.007  0.000
    35  20432A    3.332  1.059   0.098  3.329  0.169  0.745  0.105   0.009  0.656
    36  30039A    3.709  0.996  -1.691  5.912  0.127  0.785  0.400   0.034  0.244
    37  30109     6.519  1.930   0.146  2.821  0.228  0.487  0.215   0.024  0.328
    38  40853A    1.512  0.674   0.011  2.692  0.180  0.889  0.381  -0.005  0.280
    39  41025A    2.077  0.742   0.395  2.966  0.170  0.782  0.412   0.120  0.000

 series   ident    mean   sdev    skew   kurt   sens  ac(1)  corr1   corr2  power
    40  050025A   1.434  0.574  -0.694  2.640  0.258  0.753  0.329   0.047  0.506
    41  70599A    0.698  0.376   0.736  2.605  0.347  0.702  0.418   0.033  0.167
    42  101259A   2.043  0.959   1.073  3.840  0.195  0.840  0.481   0.100  0.000
    43  150776A   0.921  0.392   0.026  2.517  0.192  0.849  0.427   0.034  0.285
    44  160001A   0.855  0.327  -0.239  2.726  0.380  0.342  0.257   0.105  0.434
    45  162470    6.378  3.465   0.256  2.001  0.166  0.937  0.314  -0.008  0.596
    46  162591A   1.673  0.535  -0.783  3.137  0.121  0.869  0.479  -0.001  0.123
    47  172091    9.295  3.283  -1.880  5.402  0.157  0.849  0.524   0.051  0.139
    48  172493A   1.237  0.582  -0.092  2.501  0.196  0.851  0.526   0.068  0.000
    49  182455A   1.370  0.561  -0.632  2.595  0.221  0.823  0.600   0.081  0.000
    50  192154A   3.243  1.325   0.728  3.746  0.206  0.826  0.481   0.054  0.000
    51  192552A   0.922  0.458   0.238  2.143  0.269  0.779  0.322   0.019  0.243
    52  192568A   0.982  0.392  -0.263  2.024  0.180  0.871  0.589   0.086  0.000
    53  192583A   2.259  0.727  -0.250  2.960  0.265  0.425  0.294   0.046  0.244
    54  192594A   2.648  1.202  -0.441  2.157  0.167  0.905  0.372   0.028  0.362
    55  200578    2.550  1.091   0.281  2.674  0.270  0.699  0.558   0.112  0.000
    56  201248A   2.727  0.664  -0.795  5.399  0.127  0.740  0.201   0.000  0.442
    57  202528A   1.186  0.613  -0.368  1.859  0.235  0.902  0.495   0.063  0.199
    58  30062     1.101  0.496   0.842  3.884  0.284  0.661  0.204  -0.011  0.588
    59  172542    0.799  0.225   0.161  2.711  0.186  0.632  0.210   0.014  0.229

 series   ident    mean   sdev    skew   kurt   sens  ac(1)  corr1   corr2  power
    60  202379    2.460  0.883  -0.334  3.018  0.133  0.881  0.508  -0.003  0.000
    61  202933    2.159  0.957   0.150  2.628  0.205  0.852  0.371   0.034  0.288
    62  140939A   0.593  0.329   0.847  3.016  0.380  0.669  0.259   0.040  0.522
    63  182374A   1.313  0.580   0.177  2.594  0.264  0.778  0.532   0.016  0.000
    64  190735A   0.991  0.509   0.216  1.925  0.236  0.893  0.369   0.051  0.438
    65  192683A   1.412  0.545   0.319  3.218  0.244  0.756  0.465   0.045  0.000
    66  192592A   2.278  0.598   1.120  5.847  0.227  0.403  0.400   0.147  0.000
    67  30174A    0.739  0.312   0.801  4.351  0.282  0.618  0.259   0.028  0.177
    68  41006A    3.238  1.166   0.318  3.106  0.182  0.821  0.467   0.085  0.000
    69  162458r   2.425  1.210   0.197  2.352  0.197  0.904  0.471   0.004  0.265

 |------------- summary of transformed tree-ring series statistics -------------|

                                                            spread vs level tests
                  mean   sdev    skew   kurt   sens  ac(1)  corr1   corr2   power
 arith mean      2.189  0.811   0.090  3.258  0.202  0.741  0.375   0.049   0.204
 std deviation   1.447  0.589   0.605  1.244  0.059  0.143  0.136   0.066   0.230
 median          1.941  0.613   0.141  2.922  0.195  0.778  0.381   0.033   0.167
 interquartile   1.462  0.481   0.503  1.048  0.069  0.180  0.177   0.059   0.328
 minimum value   0.593  0.225  -1.880  1.651  0.092  0.342  0.075  -0.042   0.000
 lower hinge     1.186  0.489  -0.121  2.595  0.167  0.669  0.294   0.004   0.000
 upper hinge     2.648  0.970   0.382  3.643  0.236  0.849  0.471   0.063   0.328
 maximum value   9.295  3.465   1.658  8.393  0.380  0.937  0.656   0.262   0.792

 |-------------------- all possible series rbar statistics ---------------------|

   total    mean   standard   standard  skewess   kurtosis   minimum   maximum
   corrs    rbar   deviation    error    coeff      coeff      corr      corr
    2313   0.211     0.334      0.007   -0.258      2.514    -0.802     0.931

   minimum correlation: -0.802   series  20040A     and  190735A      57 years
   maximum correlation:  0.931   series  20040A     and  172493A      49 years

       percent of all possible correlations used (n>20 years):      98.59
       percent of all possible tree-ring years used in rbar:        42.65

 |================= transformed raw data common period analyses ================|

 |----------------------- statistics of the common period ----------------------|

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
     1  121455A   1950   2000     51   1.342   0.336  0.187  1.959  0.118   0.838
     2  192697    1950   2000     51   2.034   0.699  0.359  2.050  0.175   0.795
     3  142178    1950   2000     51   3.092   0.970  0.719  2.638  0.188   0.643
     4  202536    1950   2000     51   2.294   0.955  0.328  2.108  0.226   0.767
     5  161024    1950   2000     51   2.758   0.235  0.075  3.455  0.055   0.648
     6  182396    1950   2000     51   1.338   0.334  0.021  2.491  0.161   0.651
     7  101292    1950   2000     51   2.928   0.843  1.122  4.251  0.119   0.805
     8  182678    1950   2000     51   1.191   0.258  0.337  3.379  0.205   0.379
     9  192707    1950   2000     51   2.754   0.724  0.279  2.637  0.107   0.835
    10  171421    1950   2000     51   1.645   0.526  0.035  2.885  0.200   0.751
    11  12303     1950   2000     51   2.287   0.621  0.012  2.340  0.129   0.811
    12  192641    1950   2000     51   1.005   0.502  1.105  3.530  0.233   0.780
    13  10539     1950   2000     51   2.302   0.440  0.230  2.352  0.127   0.621
    14  141124    1950   2000     51   1.877   0.712  0.074  2.995  0.279   0.605
    15  142703    1950   2000     51   2.581   1.121 -0.318  2.792  0.229   0.828
    16  202775    1950   2000     51   2.957   0.331  0.336  2.654  0.080   0.582
    17  152659    1950   2000     51   1.020   0.288 -0.038  2.250  0.172   0.687
    18  132525    1950   2000     51   2.330   0.712  0.525  2.482  0.184   0.688
    19  40131     1950   2000     51   2.257   0.470  0.302  2.637  0.177   0.450

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
    20  140881    1950   2000     51   3.625   1.850  1.125  3.199  0.186   0.893
    21  40934A    1950   2000     51   1.200   0.568 -0.154  1.957  0.268   0.820
    22  40935A    1950   2000     51   2.147   0.292  0.052  3.758  0.092   0.506
    23  102453A   1950   2000     51   1.699   0.332 -2.853 16.151  0.148   0.299
    24  111290A   1950   2000     51   2.096   0.331  0.426  2.576  0.084   0.738
    25  172565A   1950   2000     51   3.153   0.499  0.348  2.778  0.089   0.724
    26  192260A   1950   2000     51   4.666   1.366 -0.186  2.940  0.215   0.589
    27  192666A   1950   2000     51   0.895   0.232  0.030  2.158  0.118   0.841
    28  12234A    1950   2000     51   1.398   0.486  0.715  2.991  0.206   0.739
    29  20432A    1950   2000     51   3.662   0.882  0.782  3.470  0.137   0.775
    30  30039A    1950   2000     51   4.120   0.540 -0.076  2.404  0.110   0.451
    31  30109     1950   2000     51   6.989   1.579  0.275  3.342  0.182   0.535
    32  40853A    1950   2000     51   1.435   0.491 -0.058  3.053  0.124   0.877
    33  41025A    1950   2000     51   2.010   0.541 -0.140  2.442  0.140   0.790
    34  101259A   1950   2000     51   1.564   0.539 -0.394  2.345  0.207   0.740
    35  162470    1950   2000     51   6.149   2.646  0.986  3.504  0.120   0.870
    36  162591A   1950   2000     51   1.794   0.331  0.098  2.650  0.097   0.706
    37  172493A   1950   2000     51   1.195   0.501 -0.373  2.402  0.188   0.843
    38  182455A   1950   2000     51   1.546   0.345 -0.306  3.298  0.141   0.678
    39  192154A   1950   2000     51   2.833   0.988 -0.760  3.099  0.230   0.744

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
    40  192552A   1950   2000     51   0.955   0.407  0.164  2.558  0.237   0.792
    41  192568A   1950   2000     51   1.133   0.298 -0.367  2.228  0.133   0.769
    42  192583A   1950   2000     51   2.269   0.595  0.366  1.951  0.185   0.543
    43  201248A   1950   2000     51   2.880   0.521  0.835  3.503  0.105   0.658
    44  202528A   1950   2000     51   1.329   0.629 -0.818  2.209  0.200   0.892
    45  30062     1950   2000     51   0.926   0.369  0.592  4.250  0.301   0.716
    46  172542    1950   2000     51   0.775   0.192 -0.488  2.341  0.182   0.516
    47  202379    1950   2000     51   1.914   0.551 -0.127  2.644  0.126   0.822
    48  140939A   1950   2000     51   0.585   0.326  0.953  3.368  0.405   0.618
    49  190735A   1950   2000     51   0.963   0.548  0.395  1.981  0.259   0.888
    50  192683A   1950   2000     51   1.359   0.533  0.002  2.996  0.263   0.736
    51  41006A    1950   2000     51   2.612   0.599 -0.724  2.810  0.153   0.599
    52  162458r   1950   2000     51   2.296   0.807  0.300  3.105  0.158   0.834

 |------------ summary of common period tree-ring series statistics ------------|

                                year    mean   stdev   skew   kurt   sens   ac(1)
 arithmetic mean                  51   2.195   0.631  0.121  3.045  0.172   0.706
 standard deviation              -99   1.261   0.438  0.630  1.937  0.066   0.138
 median (50th quantile)           51   2.022   0.529  0.131  2.652  0.173   0.738
 interquartile range               0   1.422   0.377  0.514  0.900  0.085   0.196
 minimum value                    51   0.585   0.192 -2.853  1.951  0.055   0.299
 lower hinge (25th quantile)      51   1.334   0.335 -0.134  2.348  0.122   0.620
 upper hinge (75th quantile)      51   2.756   0.712  0.380  3.249  0.207   0.816
 maximum value                    51   6.989   2.646  1.125 16.151  0.405   0.893

 |----------- all series common period principal components analysis -----------|
 |--------- refer to saved output files for complete tabulated results ---------|

             ev #1  ev #2  ev #3  ev #4  ev #5  ev #6  ev #7  ev #8  ev #9  ev#10
 eigenvalue:17.630  6.861  5.906  2.874  2.691  2.213  1.348  1.297  0.988  0.878
 eval sderr: 3.491  1.359  1.170  0.569  0.533  0.438  0.267  0.257  0.196  0.174
 % variance: 0.352  0.137  0.118  0.057  0.054  0.044  0.027  0.026  0.020  0.018
 cumulative: 0.352  0.490  0.608  0.665  0.719  0.763  0.790  0.816  0.836  0.853
 brokn stck: 4.519* 3.519* 3.019* 2.685  2.435  2.235  2.069  1.926  1.801  1.690 
 broken stick order selected for eigenvalue + 1se above broken stick value:   3

             |---------------------- eigenvector loadings ----------------------|
 series id   eg_#1  eg_#2  eg_#3  eg_#4  eg_#5  eg_#6  eg_#7  eg_#8  eg_#9  eg#10
  121455A   -0.019  0.191  0.223 -0.199 -0.080  0.183 -0.044  0.101  0.125  0.005
  192697     0.197 -0.040 -0.006  0.191 -0.078 -0.080 -0.008 -0.069  0.042 -0.031
  142178     0.090  0.258 -0.008 -0.030  0.040  0.086 -0.007 -0.138  0.074 -0.296
  202536    -0.057  0.258 -0.193 -0.034 -0.013  0.210  0.056 -0.052  0.035  0.139
  161024     0.189  0.019  0.050 -0.056  0.118  0.095  0.096 -0.103 -0.023 -0.133
  182396     0.020  0.018  0.166  0.140  0.440  0.143  0.017  0.199 -0.125 -0.107
  101292     0.107 -0.154  0.063  0.096  0.399 -0.055 -0.029 -0.019  0.040  0.132
  182678     0.103  0.090 -0.216  0.029  0.075  0.093  0.291 -0.284  0.057  0.234
  192707     0.156 -0.184  0.018 -0.066  0.237  0.142 -0.023 -0.056  0.013  0.050
  171421     0.062  0.261  0.081 -0.093  0.117 -0.195  0.077 -0.169  0.013 -0.030
  12303      0.064 -0.147 -0.245 -0.174 -0.014  0.126  0.085  0.034  0.151  0.079
  192641     0.163 -0.009 -0.174  0.136 -0.014 -0.215 -0.183  0.015  0.078  0.123
  10539      0.152  0.214 -0.013  0.093  0.094  0.131 -0.113 -0.040 -0.092 -0.072
  141124    -0.019  0.212 -0.169  0.135  0.067  0.186 -0.126  0.345  0.243 -0.124
  142703     0.207 -0.016  0.002 -0.094 -0.081 -0.056  0.045  0.108  0.147  0.030
  202775     0.134  0.177  0.075  0.088 -0.064 -0.120  0.181  0.156  0.072 -0.116
  152659     0.154 -0.101 -0.142 -0.134  0.019  0.114  0.277  0.028 -0.049  0.042
  132525     0.139  0.222 -0.004 -0.068 -0.044 -0.006 -0.221  0.022 -0.065 -0.073
  40131      0.152  0.075 -0.055  0.276 -0.037 -0.095  0.158  0.181  0.107  0.120
  140881     0.163  0.114 -0.196 -0.009  0.136 -0.114 -0.126  0.098 -0.064  0.087
  40934A     0.181  0.024  0.147 -0.014 -0.156  0.094 -0.028 -0.157  0.110 -0.104
  40935A     0.061 -0.042  0.210  0.221  0.114  0.090  0.209  0.048  0.438 -0.058
  102453A    0.067  0.169  0.113 -0.158 -0.166 -0.072  0.109  0.069 -0.098  0.435
  111290A   -0.025  0.241  0.014 -0.286  0.115  0.086 -0.178  0.240  0.114  0.199
  172565A    0.187  0.108 -0.102 -0.010  0.089  0.177 -0.057 -0.052 -0.137 -0.011
  192260A   -0.037 -0.017  0.097  0.226 -0.144  0.315 -0.355 -0.033  0.177  0.303
  192666A    0.159 -0.216  0.045  0.012  0.023  0.094  0.062  0.231 -0.028 -0.049
  12234A    -0.119 -0.008  0.034  0.420 -0.026  0.010  0.101 -0.034 -0.035  0.025
  20432A     0.082 -0.164  0.240 -0.001 -0.146  0.207  0.083 -0.023  0.258  0.106
  30039A     0.053  0.142  0.215  0.207  0.015 -0.059  0.154 -0.086 -0.051  0.122
  30109      0.034 -0.082  0.104  0.107 -0.176  0.302  0.136  0.370 -0.396 -0.079
  40853A     0.216 -0.001 -0.022 -0.031 -0.065 -0.084 -0.137  0.035 -0.005 -0.039
  41025A     0.206 -0.008  0.055  0.058 -0.022 -0.085 -0.077 -0.095  0.042 -0.155
  101259A    0.178 -0.101  0.136 -0.024 -0.037 -0.031  0.019  0.025 -0.169 -0.035
  162470     0.212  0.015 -0.108  0.036 -0.095 -0.134 -0.018  0.044 -0.062 -0.012
  162591A    0.201  0.076 -0.009 -0.129 -0.020  0.103 -0.026 -0.051  0.058 -0.040
  172493A    0.207 -0.111  0.018 -0.031 -0.056 -0.056 -0.036 -0.064 -0.005  0.037
  182455A    0.164 -0.116 -0.073 -0.053  0.123  0.242 -0.014 -0.041 -0.128 -0.078
  192154A   -0.020  0.296  0.117  0.164 -0.099 -0.078 -0.072  0.087  0.088 -0.026
  192552A    0.188 -0.050 -0.094 -0.151  0.071  0.092 -0.070  0.131 -0.002  0.223
  192568A    0.171  0.053  0.180 -0.147 -0.056  0.031  0.026 -0.112  0.102 -0.100
  192583A    0.141  0.070 -0.065  0.184  0.082  0.230  0.135 -0.139 -0.037  0.178
  201248A    0.167  0.077  0.092  0.033 -0.188  0.033  0.059  0.262 -0.121 -0.017
  202528A    0.160 -0.051  0.215 -0.108 -0.057 -0.056 -0.042 -0.011  0.042 -0.074
  30062     -0.006  0.089 -0.247  0.075 -0.317  0.081  0.200 -0.041 -0.212 -0.108
  172542    -0.029  0.067  0.289 -0.079 -0.134  0.096  0.118 -0.186 -0.112  0.265
  202379     0.150 -0.068  0.020  0.254 -0.011 -0.085 -0.331 -0.039 -0.193  0.271
  140939A   -0.020  0.079  0.137 -0.115  0.235 -0.303  0.273  0.285 -0.033  0.201
  190735A   -0.179  0.169  0.019 -0.005  0.091  0.173  0.010 -0.005 -0.149  0.028
  192683A    0.092  0.197 -0.217  0.112  0.069  0.017  0.191 -0.035  0.086  0.012
  41006A     0.042  0.177  0.239  0.023  0.203  0.011 -0.067 -0.193 -0.299 -0.032
  162458r    0.216  0.020 -0.024  0.010 -0.111 -0.113  0.007  0.057 -0.037 -0.001

 |--------- all series common period varimax factor rotation - ev>1.0) ---------|
 |--------- refer to saved output files for complete tabulated results ---------|

             vf #1  vf #2  vf #3  vf #4  vf #5  vf #6  vf #7  vf #8  vf #9  vf#10
 % variance: 0.331  0.125  0.129
 cumulative: 0.331  0.456  0.585

             |--------------------- varimax factor loadings --------------------|
 series id   vl_#1  vl_#2  vl_#3  vl_#4  vl_#5  vl_#6  vl_#7  vl_#8  vl_#9  vl#10
  121455A   -0.148  0.725  0.041
  192697     0.810 -0.020  0.207
  142178     0.413  0.517 -0.401
  202536    -0.109  0.165 -0.834
  161024     0.758  0.183  0.193
  182396     0.010  0.312  0.273
  101292     0.387 -0.159  0.459
  182678     0.536 -0.143 -0.460
  192707     0.608 -0.272  0.472
  171421     0.260  0.658 -0.271
  12303      0.352 -0.662 -0.122
  192641     0.749 -0.244 -0.168
  10539      0.667  0.445 -0.287
  141124     0.029  0.128 -0.683
  142703     0.851  0.044  0.185
  202775     0.547  0.510 -0.082
  152659     0.683 -0.374  0.044
  132525     0.607  0.471 -0.294
  40131      0.663  0.108 -0.116
 series id   vl_#1  vl_#2  vl_#3  vl_#4  vl_#5  vl_#6  vl_#7  vl_#8  vl_#9  vl#10
  140881     0.777 -0.043 -0.421
  40934A     0.683  0.348  0.349
  40935A     0.149  0.282  0.486
  102453A    0.250  0.534 -0.050
  111290A   -0.073  0.480 -0.418
  172565A    0.833  0.109 -0.230
  192260A   -0.201  0.112  0.173
  192666A    0.603 -0.290  0.577
  12234A    -0.507 -0.001 -0.016
  20432A     0.202  0.102  0.769
  30039A     0.141  0.643  0.165
  30109      0.079  0.021  0.351
  40853A     0.899  0.038  0.124
  41025A     0.822  0.145  0.262
  101259A    0.654  0.087  0.548
  162470     0.924 -0.073 -0.058
  162591A    0.842  0.202  0.001
  172493A    0.826 -0.114  0.380
  182455A    0.692 -0.286  0.198
  192154A   -0.092  0.756 -0.331
 series id   vl_#1  vl_#2  vl_#3  vl_#4  vl_#5  vl_#6  vl_#7  vl_#8  vl_#9  vl#10
  192552A    0.809 -0.185  0.064
  192568A    0.633  0.455  0.347
  192583A    0.621  0.078 -0.134
  201248A    0.658  0.355  0.149
  202528A    0.554  0.306  0.584
  30062      0.102 -0.232 -0.592
  172542    -0.238  0.589  0.366
  202379     0.600 -0.047  0.265
  140939A   -0.131  0.369  0.086
  190735A   -0.720  0.296 -0.398
  192683A    0.508  0.059 -0.658
  41006A     0.092  0.746  0.137
  162458r    0.902  0.075  0.082

 |------------------ all series common period rbar statistics ------------------|

   total    mean   standard   standard  skewess   kurtosis   minimum   maximum
   corrs    rbar   deviation    error    coeff      coeff      corr      corr
    1326   0.198     0.336      0.009   -0.296      2.559    -0.838     0.935

   minimum correlation: -0.838   series  172493A    and  190735A      51 years
   maximum correlation:  0.935   series  162470     and  162458r      51 years

 |------------------ within-tree common period rbar statistics -----------------|

                             no within-tree series found

 |----------------- between-tree common period rbar statistics -----------------|

   total    mean   standard   standard  skewess   kurtosis   minimum   maximum
   corrs    rbar   deviation    error    coeff      coeff      corr      corr
   1326    0.198     0.336      0.009   -0.296      2.559    -0.838     0.935

 |--------------------- final rbar, eps, and sss statistics --------------------|

                                       number     rbar     sdev
                    all series rbar:    1326     0.198    0.336
                  within-trees rbar:       0     0.000    0.000
                 between-trees rbar:    1326     0.198    0.336

                 effective chronology signal  -  reff:    0.205
                       signal-to-noise ratio  -   snr:   12.798
                 expressed population signal  -   eps:    0.928

   fractional common variance between the reduced sample-size chronology and the
            fully replicated chronology (subsample signal strength - sss)

                   sss as function of the number of trees in sample
            1     2     3     4     5     6     7     8     9    10    11    12
  sss:   0.213 0.356 0.458 0.535 0.595 0.643 0.682 0.715 0.743 0.767 0.787 0.805
           13    14    15    16    17    18    19    20    21    22    23    24
  sss:   0.821 0.836 0.848 0.860 0.870 0.880 0.888 0.896 0.903 0.910 0.916 0.922
           25    26    27    28    29    30    31    32    33    34    35    36
  sss:   0.927 0.932 0.937 0.942 0.946 0.950 0.953 0.957 0.960 0.963 0.966 0.969
           37    38    39    40    41    42    43    44    45    46    47    48
  sss:   0.971 0.974 0.976 0.979 0.981 0.983 0.985 0.987 0.989 0.991 0.992 0.994
           49    50    51    52
  sss:   0.996 0.997 0.999 1.000

     fractional common variance between the reduced sample-size chronology and
                  the expressed population signal or eps chronology

                   eps as function of the number of trees in sample
            1     2     3     4     5     6     7     8     9    10    11    12
  eps:   0.198 0.330 0.425 0.496 0.552 0.596 0.633 0.663 0.689 0.711 0.730 0.747
           13    14    15    16    17    18    19    20    21    22    23    24
  eps:   0.762 0.775 0.787 0.797 0.807 0.816 0.824 0.831 0.838 0.844 0.850 0.855
           25    26    27    28    29    30    31    32    33    34    35    36
  eps:   0.860 0.865 0.869 0.873 0.877 0.881 0.884 0.887 0.890 0.893 0.896 0.899
           37    38    39    40    41    42    43    44    45    46    47    48
  eps:   0.901 0.903 0.906 0.908 0.910 0.912 0.914 0.915 0.917 0.919 0.920 0.922
           49    50    51    52
  eps:   0.923 0.925 0.926 0.928

 |--------------------------- running rbar statistics --------------------------|

    year   1910.  1930.  1950.  1970.  1990.
    corr     21.    91.   325.  1378.  1431.
    rbar  0.262  0.199  0.214  0.149  0.289
    sdev  0.200  0.299  0.291  0.322  0.375
    serr  0.044  0.031  0.016  0.009  0.010
    eps   0.843  0.881  0.933  0.918  0.964
    nss    15.1   29.7   51.0   64.2   66.7

 |======================== raw data chronology statistics ======================|

 |----------------- robust mean raw data chronology statistics -----------------|

  first    last    total    mean    stdrd    skew    kurtosis    mean    serial
   year    year    years   index     dev     coeff     coeff     sens     corr
   1869    2017     149    2.334   0.819    0.273      2.771    0.099    0.884

  mean indices vs their standard deviations       robust mean efficiency results
      correlation    slope    intercept             # improved    # unimproved
        0.415        0.163      0.673                    108             41

 |---------------- robust mean efficiency gain and loss results ----------------|

   median      interquartile      minimum       lower       upper       maximum
    gain           range            gain        hinge       hinge         gain
    1.44            1.33            0.14         0.66        2.00         6.54

   median      interquartile      minimum       lower       upper       maximum
    loss           range            loss        hinge       hinge         loss
    0.97            0.11            0.00         0.89        1.00         1.00

 |--------------------- segment length summary statistics ----------------------|

   median      interquartile      minimum       lower       upper       maximum
   length          range           length       hinge       hinge        length
      79.            32.             28.          63.         95.          140.

 |----------- raw data chronology auto and partial autocorrelations ------------|

 lag           t-1    t-2    t-3    t-4    t-5    t-6    t-7    t-8    t-9   t-10
 acf         0.878  0.868  0.821  0.764  0.750  0.681  0.681  0.634  0.621  0.623
 pacf        0.878  0.421  0.052 -0.127  0.117 -0.122  0.143 -0.035  0.073  0.121
 95% c.l.    0.164  0.261  0.330  0.381  0.420  0.454  0.481  0.506  0.527  0.546

 |------------------ raw data chronology autoregressive model ------------------|

